Rank,Game,Category,Year,Region,Platform,Source
1,NBA 2K26,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
129,Gang Beasts,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
128,theHunter: Call of the Wild,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
127,Call of Duty: Black Ops 6,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
126,Fallout 4,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
125,Grand Theft Auto V,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
124,Need for Speed Heat,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
123,Batman: Arkham Knight,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
122,Red Dead Redemption 2,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
121,Minecraft,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
99,ASTRO BOT,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
98,Marvel's Spider-Man 2,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
97,Warhammer 40000: Space Marine 2,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
130,Call of Duty: Modern Warfare III,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
96,Tom Clancy's Rainbow Six Siege,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
94,FINAL FANTASY VII REBIRTH,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
93,MLB The Show 24,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
92,Madden NFL 24,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
91,NBA 2K24,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
90,EA SPORTS FC 25,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
89,Call of Duty: Modern Warfare III,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
88,DRAGON BALL: Sparking! ZERO,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
87,Black Myth: Wukong,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
86,EA SPORTS Madden NFL 25,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
85,Grand Theft Auto V,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
84,NBA 2K25,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
83,HELLDIVERS 2,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
95,Hogwarts Legacy,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
131,Call of Duty: Black Ops III,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
132,The Forest,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
133,Need for Speed Payback,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
180,Grand Theft Auto V,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
179,Street Fighter 6,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
178,Dead Space,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
177,Tom Clancy's Rainbow Six Siege,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
176,Assassin's Creed Mirage,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
175,WWE 2K23,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
174,Dead Island 2,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
173,Resident Evil 4,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
172,FINAL FANTASY XVI,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
171,MLB The Show 23,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
170,Mortal Kombat 1,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
169,EA SPORTS FC 24,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
168,Diablo IV,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
167,Baldur's Gate 3,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
166,STAR WARS Jedi: Survivor,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
165,NBA 2K24,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
164,Madden NFL 24,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
163,Marvel's Spider-Man 2,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
162,Call of Duty: Modern Warfare III,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
161,Hogwarts Legacy,PS5 Games,2023,US/Canada,PS5,PlayStation Blog
140,Kingdom Come: Deliverance,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
139,Injustice 2,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
138,Madden NFL 24,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
137,STAR WARS Battlefront II,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
136,Mortal Kombat X,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
135,NBA 2K24,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
134,A Way Out,PS4 Games,2024,US/Canada,PS4,PlayStation Blog
82,EA SPORTS College Football 25,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
81,Call of Duty: Black Ops 6,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
100,Sea of Thieves,PS5 Games,2024,US/Canada,PS5,PlayStation Blog
3,Grand Theft Auto V,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
49,theHunter: Call of the Wild,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
48,Mortal Kombat X,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
47,Need for Speed Heat,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
46,A Way Out,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
45,Grand Theft Auto V,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
44,Minecraft,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
43,Batman: Arkham Knight,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
42,STAR WARS Battlefront II,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
2,Battlefield 6,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
4,EA SPORTS College Football 26,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
5,EA SPORTS Madden NFL 26,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
50,The Forest,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
6,Minecraft,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
8,ARC Raiders,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
9,Ghost of Yotei,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
10,MLB The Show 25,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
11,Call of Duty: Black Ops 6,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
12,Ready or Not,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
13,EA SPORTS FC 26,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
14,Forza Horizon 5,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
15,NBA 2K25,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
16,The Elder Scrolls IV: Oblivion Remastered,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
17,Assassin's Creed Shadows,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
18,Clair Obscur: Expedition 33,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
7,Call of Duty: Black Ops 7,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
19,Monster Hunter Wilds,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
51,Gang Beasts,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
53,Kingdom Come: Deliverance,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
52,Call of Duty: Black Ops III,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
41,Red Dead Redemption 2,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
60,Injustice 2,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
59,Overcooked! 2,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
20,EA SPORTS FC 25,PS5 Games,2025,US/Canada,PS5,PlayStation Blog
57,Unravel Two,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
56,Call of Duty: Black Ops 6,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
55,Stardew Valley,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
54,Middle-earth: Shadow of War,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
58,God of War,PS4 Games,2025,US/Canada,PS4,PlayStation Blog
147,EA SPORTS FC 24,PS4 Games,2024,EU,PS4,PlayStation Blog
154,Hogwarts Legacy,PS4 Games,2024,EU,PS4,PlayStation Blog
156,Unravel Two,PS4 Games,2024,EU,PS4,PlayStation Blog
151,The Crew 2,PS4 Games,2024,EU,PS4,PlayStation Blog
142,EA SPORTS FC 25,PS4 Games,2024,EU,PS4,PlayStation Blog
197,NBA 2K23,PS5 Games,2023,EU,PS5,PlayStation Blog
193,F1 23,PS5 Games,2023,EU,PS5,PlayStation Blog
192,Cyberpunk 2077,PS5 Games,2023,EU,PS5,PlayStation Blog
191,Call of Duty: Modern Warfare II,PS5 Games,2023,EU,PS5,PlayStation Blog
186,FIFA 23,PS5 Games,2023,EU,PS5,PlayStation Blog
105,EA SPORTS FC 24,PS5 Games,2024,EU,PS5,PlayStation Blog
79,Assassin's Creed Origins,PS4 Games,2025,EU,PS4,PlayStation Blog
78,Battlefield 4,PS4 Games,2025,EU,PS4,PlayStation Blog
77,Hogwarts Legacy,PS4 Games,2025,EU,PS4,PlayStation Blog
76,Assassin's Creed Odyssey,PS4 Games,2025,EU,PS4,PlayStation Blog
73,Battlefield V,PS4 Games,2025,EU,PS4,PlayStation Blog
65,EA SPORTS FC 25,PS4 Games,2025,EU,PS4,PlayStation Blog
63,EA SPORTS FC 26,PS4 Games,2025,EU,PS4,PlayStation Blog
111,It Takes Two,PS5 Games,2024,EU,PS5,PlayStation Blog
32,Split Fiction,PS5 Games,2025,EU,PS5,PlayStation Blog
33,Hogwarts Legacy,PS5 Games,2025,EU,PS5,PlayStation Blog
34,UFC 5,PS5 Games,2025,EU,PS5,PlayStation Blog
36,It Takes Two,PS5 Games,2025,EU,PS5,PlayStation Blog
39,REMATCH,PS5 Games,2025,EU,PS5,PlayStation Blog
40,F1 25,PS5 Games,2025,EU,PS5,PlayStation Blog
120,Gran Turismo 7,PS5 Games,2024,EU,PS5,PlayStation Blog
118,Cyberpunk 2077,PS5 Games,2024,EU,PS5,PlayStation Blog
117,Phasmophobia,PS5 Games,2024,EU,PS5,PlayStation Blog
116,ELDEN RING,PS5 Games,2024,EU,PS5,PlayStation Blog
114,The Crew Motorfest,PS5 Games,2024,EU,PS5,PlayStation Blog
112,UFC 5,PS5 Games,2024,EU,PS5,PlayStation Blog
200,Need For Speed Unbound,PS5 Games,2023,EU,PS5,PlayStation Blog
